MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57600.419085  13.585  0.004 13366   55 c  0 4461.24 278.53578   9.56705  9966.87   882.55 5.55 4.14  29.0 -0.477 19.55 21.67 02a57600o0271c
57600.437366  13.617  0.004 12976   55 c  0 4209.07 278.53578   9.56705  9928.21   940.33 5.61 4.23  29.5 -0.477 19.54 21.67 02a57600o0302c
57607.386991  13.827  0.004 10699   43 c  0 14046.47 278.53578   9.56705  2225.07  7734.51 3.88 3.52 -53.9 -0.483 19.55 21.54 02a57607o0215c
57607.401405  13.837  0.004 10599   43 c  0 16456.98 278.53578   9.56705  2246.47  7617.97 3.87 3.54 -56.3 -0.483 19.58 21.58 02a57607o0234c
57607.417422  13.854  0.004 10431   44 c  0 11673.46 278.53578   9.56705  2210.33  7674.83 4.08 3.67 -51.2 -0.469 19.55 21.57 02a57607o0255c
57611.355510  13.287  0.004 17580   70 o  0 15647.80 278.53578   9.56705  9398.92  7859.49 4.47 3.31  86.7 -0.531 18.94 20.83 02a57611o0233o
57611.379761  13.299  0.004 17395   75 o  0 10095.59 278.53578   9.56705  9382.12  7822.56 4.57 3.49  84.5 -0.519 18.91 20.83 02a57611o0278o
57611.391777  13.234  0.004 18472   68 o  0 17536.00 278.53578   9.56705  9439.26  7900.07 4.54 3.39  87.4 -0.524 18.92 20.79 02a57611o0300o
57611.406317  13.304  0.004 17320   77 o  0 10902.81 278.53578   9.56705  9459.67  7783.37 4.52 3.41  86.1 -0.535 18.88 20.74 02a57611o0328o
57611.427847  13.248  0.004 18236   73 o  0 13988.58 278.53578   9.56705  9421.76  7841.07 4.57 3.33  87.2 -0.528 18.93 20.79 02a57611o0367o
57615.333634  13.378  0.005 16173   79 o  0 6714.57 278.53578   9.56705  1463.12 10403.30 4.10 3.86 -41.9 -0.472 18.41 19.80 02a57615o0197o
57615.350537  13.334  0.005 16850   81 o  0 5997.41 278.53578   9.56705  1443.20 10362.64 4.37 4.15 -35.1 -0.435 18.14 19.41 02a57615o0229o
57615.353682  13.360  0.006 16437   97 o  0 3948.24 278.53578   9.56705  8930.96   670.59 4.37 3.82  37.1 -0.555 18.16 19.45 02a57615o0235o
57615.359022  13.371  0.006 16281   96 o  0 3979.93 278.53578   9.56705  8911.76   631.00 4.65 3.74  23.8 -0.537 18.23 19.64 02a57615o0245o
57615.369500  13.356  0.006 16509  106 o  0 2755.24 278.53578   9.56705  1499.15 10440.51 4.42 4.10 -32.5 -0.437 18.06 19.29 02a57615o0265o
57615.382756  13.469  0.010 14875  151 o  0 1176.68 278.53578   9.56705  8986.36   709.34 4.39 3.86  27.6 -0.553 17.57 18.39 02a57615o0290o
57615.383272  13.449  0.006 15143   95 o  0 3800.96 278.53578   9.56705  1522.05 10321.03 4.27 3.97 -37.3 -0.447 17.75 18.69 02a57615o0291o
57615.386394  13.325  0.005 16986   89 o  0 5608.67 278.53578   9.56705  9006.82   590.85 4.43 3.80  26.2 -0.557 18.40 19.80 02a57615o0297o
57619.376915  13.362  0.005 16413   90 o  0 6098.64 278.53578   9.56705  9405.37  8725.32 4.39 3.25  86.8 -0.533 18.40 19.77 02a57619o0121o
57619.390392  13.429  0.006 15428   97 o  0 3844.30 278.53578   9.56705  9386.83  8685.41 4.30 3.26  86.2 -0.535 18.38 19.73 02a57619o0145o
57619.403679  13.404  0.006 15784  100 o  0 3645.41 278.53578   9.56705  9447.62  8764.34 4.39 3.34  87.6 -0.539 18.34 19.68 02a57619o0170o
57619.416950  13.509  0.008 14340  110 o  0 2371.02 278.53578   9.56705  9466.95  8646.81 4.33 3.21  86.6 -0.535 18.33 19.62 02a57619o0195o
